_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
1775515,PAA210081,AGH-3RD EGRESS CORRIDOR SNYDER PAVILION,320 E NORTH AVE,PITTSBURGH,15212,450,929,"NOVA ENVIRONMENTAL SERVICES, INC.","""REMOVE 12"""" X 12"""" BEIGE VCT AND BLACK MASTIC""",1000,t,2021-02-25,2021-06-30,JOE YAKUBISIN,t,f,2021-06-30,PAA,COMPLETE,40.457069446526,-80.0036975361617
1775516,PAA194619,NIOSH BUILDING 41 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,450,925,"KLA ROOFING & CONSTRUCTION, LLC","""REMOVE 12""""X12"""" FLOOR TILE/MASTIC IN ROOMS 101 & 102 AND MAIN ENTRANCE FOYER""",754,f,2019-09-19,2019-11-18,JOE YAKUBISIN,t,f,2019-11-18,PAA,COMPLETE,40.3490702946423,-79.9735542694596
1775517,PAA194572,FORMER JEFFERSON HILLS MUNICIPAL BUILDING,3008  OLD CLAIRTON RD,JEFFERSON HILLS,15025,450,921,GRAY WASTE MANAGEMENT CORPORATION,"""REMOVE 9""""X9"""" FLOOR TILE ON 1ST FLOOR UNDER 12"""" TILES/CARPET""",800,f,2019-08-21,2020-08-20,JOE YAKUBISIN,t,f,2020-08-20,PAA,COMPLETE,40.2940420848454,-79.9190349067258
1775518,PAA180001,BETTIS ATOMIC POWER LABORATORY-COMPUTING CTR RM CC-1,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,850,940,"SPECTRUM ENVIRONMENTAL, LLC","""REMOVE 9""""X9"""" FLOOR TILEIN SELECT AREA BENEATH RAISED FLOOR""",2215,t,2018-01-02,2019-01-02,JOE YAKUBISIN,t,f,2019-01-02,PAA,COMPLETE,40.3572354645406,-79.8991410934409
1775519,PAA180108,836 FULTON STREET - PITTSBURGH; PA 15233,,PITTSBURGH,15233,850,929,"NOVA ENVIRONMENTAL SERVICES, INC.","""REMOVE BROWN VCT 9""""X9"""" FROM 2ND FLOOR BEDROOM & BLACK MASTIC ON CONCRETE FROM 2ND FLOOR GENERAL OFFICE AREA""",6008,t,2018-02-06,2018-04-30,JOE YAKUBISIN,t,f,2018-04-30,PAA,COMPLETE,40.4639144388444,-80.0451834158628
1775520,DEM200017,THE WATSON INSTITUTE,301  CAMP MEETING RD,SEWICKLEY,15143,0,935,SUPERIOR ENVIRONMENTAL CONTRACTING,"""REMOVE GRAY TSI-COMPRESSED CARDBORD AND WHITE/GRAY FITTING MUD FROM STORAGE ROOM LINES IN 4"""" CEILING; GRAY CEMENT & WHITE/GRAY INSULATION  ON BACK END OF OLD BOILER AROUND TOP DRUM AND EXTERIOR WINDOWS GRAY CAULKING""",15,f,2020-01-27,2020-05-29,JOE YAKUBISIN,t,f,2020-03-03,DEM,COMPLETE,40.5735881953319,-80.2049106892666
1775521,PAA180566,CITY THEATRE - WALTER LANG BLDG - 1315 BINGHAM ST,,PITTSBURGH,15203,1050,929,"NOVA ENVIRONMENTAL SERVICES, INC.","""REMOVE ROOF ADHESIVE ON PARAPET WALL; 9"""" FLOOR TILE IN OFFICE AREA ROOM H; 12"""" FLOOR TILE & MASTIC IN HALLWAY AREA F & OFFICE AREA ROOM G; NORT GARAGE WALL GALBESTOS SIDING; & ROOF MATERIALS""",10290,t,2018-10-02,2019-10-01,JOE YAKUBISIN,t,t,2018-12-31,PAA,COMPLETE,40.4302967313938,-79.9951092466049
1775522,PAA140472,BETTIS ATOMIC POWER LABORATORY - SMR BUILDING,814 PITTSBURGH - MCKEESPORT BLVD.,WEST MIFFLIN,15122,650,940,"SPECTRUM ENVIRONMENTAL, LLC",9X9 FLOOR TILE/MASTIC;12X12 FLOOR TILE/MASTIC;LINOLEUM/MASTIC;CAULKING AND ROOFING,11303,t,2014-12-01,2015-11-30,JOE YAKUBISIN,t,f,2015-11-30,PAA,COMPLETE,40.3572354645406,-79.8991410934409
1775523,PAA140481,CALGON CARBON PLANT,200 NEVILLE RD,PITTSBURGH,15225,650,943,PRECISION ENVIRONMENTAL COMPANY,"""ASBESTOS SIDING/ROOFING;PIPE INSULATION EXTERIOR;DUCT INSULATION IN FURNACE AND PIPE INSULATION 4"""" AND 8""""OD FURNACE PIPE""",23320,f,2014-12-01,2015-11-30,JOE YAKUBISIN,t,f,2014-12-30,PAA,COMPLETE,40.4942377251384,-80.0809510160549
1775524,DEM190278,PA TURNPIKE COMMISSION - 109 & 115 ELLWOOD AVENUE,,PLUM,15239,0,914,CLARION ENVIRONMENTAL SERVICES INC.,"""PAPER DUCT WRAP & PLUMBING TRAP TAR IN 1ST FL/GARAGE; 12"""" TAN FLOOR TILE IN 2ND FL APARTMENT; LOWER ROOF PATCH; LOWER DOOR WALL CAULKING; UPPER/LOWER DOOR CAULKING & EXTERIOR WINDOW CAULKING""",132,f,2019-10-23,2019-11-08,JOE YAKUBISIN,t,f,2019-11-08,DEM,COMPLETE,40.4921455851806,-79.7848283940866
1775525,DEM220128,JACKSON GEAR COMPANY,963 WILLIAM FLYNN HWY,SHALER,15116,0,919,"FLUOR MARINE PROPULSION, LLC","""REMOVE BLACK TAR PITCH COATING ON 2"""" PIPE""",7,f,2022-06-04,2022-06-04,KIMBERLY CAMPBELL,f,f,2022-06-04,DEM,COMPLETE,40.5125964820759,-79.950883583009
1775526,UND200011,SEWICKLEY VALLEY HOSPITAL - 1ST FLOOR MAILROOM,720  BLACKBURN RD,SEWICKLEY,15143,0,929,"NOVA ENVIRONMENTAL SERVICES, INC.","""REMOVE CEMENTITIOUS PIPE FITTINGS 3/4"""" LEAKING STEAM LINE BREAK/LEAK 2"""" THICKNESS ABOVE SUSPENDED CEILING""",4,t,2020-01-17,2020-01-17,CALI FEENEY,t,f,2020-01-17,UND,COMPLETE,40.5430818714122,-80.1780678716746
1775527,PAA194626,NIOSH BUILDING 168 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,450,925,"KLA ROOFING & CONSTRUCTION, LLC","""REMOVOE 12""""X12"""" FLOOR TILE & MASTIC THROUGHOUT BUILDING""",870,f,2019-09-16,2019-09-30,JOE YAKUBISIN,t,f,2019-09-30,PAA,COMPLETE,40.3490702946423,-79.9735542694596
1775528,PAA194616,NIOSH BUILDING 14 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,1250,925,"KLA ROOFING & CONSTRUCTION, LLC","""RMOVE 12X12 FLOOR TILE/MASTIC IN ROOMS 201; 203; 204; 205; 206 & 209; 13"""" COVE BASE/MASTIC IN ROOM 207 AND CEMENTITIOUS PIPE INSULATION""",4682,f,2019-09-16,2019-11-30,JOE YAKUBISIN,t,f,2019-11-30,PAA,COMPLETE,40.3490702946423,-79.9735542694596
1775529,UND220047,NEVILLE CHEMICAL,2800 NEVILLE RD,NEVILLE,15225,0,947,"GEO V. HAMILTON, INC.",28 STILL FRIABLE ACM,60,t,2022-07-18,2022-07-22,JOE YAKUBISIN,f,f,2022-07-22,UND,COMPLETE,40.502210017789,-80.1013925134527
1775530,PAA190298,UPMC MAGEE WOMENS HOSPITAL ISD ROOF,300 HALKET ST,PITTSBURGH,15213,250,908,"BRISTOL ENVIRONMENTAL, INC.",6TH FLOOR ROOF FLASHING,400,t,2019-05-22,2019-08-31,JOE YAKUBISIN,t,t,2019-06-30,PAA,COMPLETE,40.4369746546783,-79.960823450374
1775531,PAA170340,CHEVRON SCIENCE CTR-PHASE 2 - 219 PARKMAN AVE,,PITTSBURGH,15236,450,905,"BLT CONTRACTING, INC.",ABATE GROUND FLOOR LAB TOPS IN G17 & G 18; FUME HOOD IN G18; & VAT/MASTIC IN G15 & G18,875,t,2017-06-26,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.3490702946423,-79.9735542694596
1775532,PAA224229,CITY OF MCKEESPORT REGULATED PROPERTY,1217  HAMILTON ST,MCKEESPORT,15132,350,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",ENTIRE STRUCTURE BEING TREATED AS ACM,1296,f,2022-05-25,2022-09-02,ELIZABETH LETURGEY,f,f,2022-09-02,PAA,EXPIRED,40.3447354981084,-79.8441369864167
1775533,PAA180070,RESIDENTIAL DEMOLITION PGH,608  REDKNAP ST,PITTSBURGH,15212,850,920,GENERAL CONTRACTING CORP. OF AMERICA,ENTIRE STRUCTURE TREATED AS ACM,,f,2018-01-23,2018-02-10,JOE YAKUBISIN,t,f,2018-02-10,PAA,COMPLETE,40.4594604314695,-80.014520763874
1775534,PAA204351,5233-5235 WICKLIFF STREET,5233  WICKLIFF ST,PITTSBURGH,15201,350,961,UNIS DEMOLITION COMPANY,EXTENSIVE FIRE DAMAGE  - ALL MATERIAL IS BEING TREATED AS ACM,1500,f,2020-07-08,2020-07-18,JOE YAKUBISIN,t,f,2020-07-18,PAA,COMPLETE,40.4786551341491,-79.9499244697562
1775535,PAA140316,ASHLAND CEMICAL,2650 NEVILLE RD,PITTSBURGH,15225,650,908,"BRISTOL ENVIRONMENTAL, INC.",EXTERIOR BOILER AREA - THERMAL SYSTEM INSULATION AND GASKETS,3325,f,2014-07-28,2014-09-30,JOE YAKUBISIN,t,f,2014-09-30,PAA,COMPLETE,40.4994180506921,-80.0810662997816
1775536,UND160005,RESIDENTIAL,37  LOCUST ST,ETNA,15223,,903,"AMERICAN INDUSTRIAL CONTRACTING, INC.",EXTERIOR CAULKING WINDOWS AND DOORS,10,f,2016-08-10,2016-12-31,ELIZABETH LETURGEY,t,f,2016-12-31,UND,COMPLETE,40.4963509164953,-79.9450728269695
1775537,PAA180085,KOPPERS PLANT CLAIRTON - EXTERNAL PIPE RACKS,300 N STATE ST,CLAIRTON,15025,850,941,"PRISM RESPONSE, LLC DBA ALLOY",EXTERIOR PIPE RACKS,11765,f,2018-01-19,2018-12-30,JOE YAKUBISIN,t,f,2018-12-30,PAA,COMPLETE,40.3078329752497,-79.8855657170386
1775538,PAA140102,UNITED STEEL WORKERS BUILDING,60 BOULEVARD OF THE ALLIES,PITTSBURGH,15222,350,903,"AMERICAN INDUSTRIAL CONTRACTING, INC.",FIBERGLASS BATTING IN BASEMENT DOCK AREA OFFICE,312,t,2014-03-06,2014-06-30,JOE YAKUBISIN,t,f,2014-06-30,PAA,COMPLETE,40.4395104514807,-80.0055342329602
1775539,PAA150081,KINDER CARE WEST MIFFLIN,515 CAMP HOLLOW ROAD,WEST MIFFLIN,15122,650,957,"RITENOUR AND SONS CONSTRUCTION COMPANY, INC.",FIRE BRICK/INSULATION IN BASEMENT;ROOF DRAINS IN MIDDLE SCHOOL;PIPE INSULATION IN PENTHOUSE;PIPE/FITTINGS ON FIRST FLOOR AND AUDITORIUM;TRANSIRE PANSLS ON FRONT CANOPY,4982,f,2015-01-04,2015-03-17,JOE YAKUBISIN,t,f,2015-03-17,PAA,COMPLETE,40.3455661618791,-79.9251646488505
1775540,PAA224324,MUNICIPALITY REGULATED PROPERTY,137  MONTCLAIR AVE,MCCANDLESS,15237,350,937,TOM SIPES DEMOLITION COMPANY,FIRE DAMAGED STRUCTURE,1500,f,2022-07-25,2023-01-01,JOE YAKUBISIN,t,f,2023-01-01,PAA,COMPLETE,40.5606422623985,-80.0380108261323
1775541,PAA170316,SAINT THERESE OF LISIEUX SCHOOL,3 ST THERESE CT,MUNHALL,15120,450,905,"BLT CONTRACTING, INC.",ABATE FLOOR TILES FROM TWO STAIRWELLS,720,f,2017-06-14,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.3880481350354,-79.9005334260957
1775542,PAA170303,UOP-SRCC BUILDING 4107 O'HARA STREET,,PITTSBURGH,15260,850,905,"BLT CONTRACTING, INC.",ABATE VAT MASTIC; LAB TOPS AND CEILING PLASTER IN VARIOUS LOCATIONS,9522,t,2017-06-08,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4258800438488,-80.0405130170183
1775543,PAA170326,UOP - CATHEDRAL OF LEARNING - 4200 FIFTH AVENUE; 17TH FLOOR,,PITTSBURGH,15260,850,905,"BLT CONTRACTING, INC.",ABATE WALL MASTIC IN THE MENS/WOMENS ROOM; LINOLEUM IN SUITE 1701 WINDOW CAULKING ON THE 17TH FLOOR,1000,t,2017-06-19,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4258800438488,-80.0405130170183
1775544,PAA190560,RESIDENCE,1915  ST IVES ST,PITTSBURGH,15212,200,931,PHASE ONE DEVELOPMENT CORPORATION,ABATEMENT NECESSARY DUE TO RENOVATION,1645,f,2019-08-01,2019-12-31,SHANNON SANDBERG,t,f,2019-12-31,PAA,COMPLETE,40.459785723464,-80.0231169756141
1775545,DEM200178,PA TURNPIKE PROJECT,592  RANDALL ST,WEST MIFFLIN,15122,0,920,GENERAL CONTRACTING CORP. OF AMERICA,ACM ABATED BY OTHERS UNDER PRIOR NOTIFICATION - DEMOLISH STRUCTURE AND GRADE LOT,0,f,2020-11-18,2020-12-13,CALI FEENEY,t,f,2020-12-13,DEM,COMPLETE,40.3483745402788,-79.9076472076608
1775546,DEM200179,PA TURNPIKE PROJECT,602  RANDALL ST,WEST MIFFLIN,15122,0,920,GENERAL CONTRACTING CORP. OF AMERICA,ACM ABATED BY OTHERS UNDER PRIOR NOTIFICATION - DEMOLISH STRUCTURE AND GRADE LOT,0,f,2020-11-18,2020-12-13,ELIZABETH LETURGEY,t,f,2020-12-13,DEM,COMPLETE,40.3482327374676,-79.9069532813846
1775547,PAA194590,VACANT RESIDENCE,714  ARDMORE BLVD,PITTSBURGH,15221,350,915,DJ DEMO COMPANY,ACM ASSSUMED:  RAZE 2 STORY SINGLE FAMILY HOME; REMOVE ALL TRASH AND DEBRIS.  CLEAN BASAEMENT VOID AND BACKFILL WITH CLEAN MATERIAL.  LEVEL THE LOT WITH CONTOUR OF STREET; SEED AND STRAW THE LOT.,1500,f,2019-08-16,2019-08-27,JOE YAKUBISIN,t,f,2019-08-27,PAA,COMPLETE,40.438376697029,-79.8744799503461
1775548,PAA194591,VACANT RESIDENCE,1567  WESLEY ST,WILKINSBURG,15221,350,915,DJ DEMO COMPANY,ACM ASSSUMED:  RAZE 2 STORY SINGLE FAMILY HOME; REMOVE ALL TRASH AND DEBRIS.  CLEAN BASAEMENT VOID AND BACKFILL WITH CLEAN MATERIAL.  LEVEL THE LOT WITH CONTOUR OF STREET; SEED AND STRAW THE LOT.,1500,f,2019-08-16,2019-08-27,JOE YAKUBISIN,t,f,2019-08-27,PAA,COMPLETE,40.4441285063374,-79.8712766764512
1775549,PAA160545,,41  LAREDA ST,PITTSBURGH,15212,650,920,GENERAL CONTRACTING CORP. OF AMERICA,ACM DEBRIS,,f,2016-11-29,2016-12-07,JOE YAKUBISIN,t,f,2016-12-07,PAA,COMPLETE,40.3049268140611,-80.075952510012
1775550,PAA160097,LOCAL 1058 BUILDING,12  8TH ST,PITTSBURGH,15222,350,928,NORTHSTAR CONTRACTING GROUP INC,600 SQ. FT. FLOORTILE ON 5TH FLOOR,600,t,2016-02-15,2016-04-30,JOE YAKUBISIN,t,f,2016-04-30,PAA,COMPLETE,40.4441726338326,-79.9999173588714
1775551,DEM220072,436 LINCOLN AVENUE,,PITTSBURGH,15208,0,915,DJ DEMO COMPANY,ABARMENT PERFORMED UNDER PAA21-0308,0,f,2022-05-13,2022-12-31,JOE YAKUBISIN,f,f,2022-12-31,DEM,COMPLETE,40.4455161683197,-79.9162488905299
1775552,PAA170259,DORSEYVILLE MIDDLE SCHOOL,3732 SAXONBURG BLVD,PITTSBURGH,15238,850,905,"BLT CONTRACTING, INC.",ABATE VAT/MASTIC ON FIRST FLOOR & GLAZING ON EXTERIOR,30000,t,2017-05-22,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.5769551633617,-79.8839931842422
1775553,PAA170258,AUDOBON SOCIETY OF WESTERN PA,615  DORSEYVILLE RD,PITTSBURGH,15238,850,905,"BLT CONTRACTING, INC.",ABATE WALL PLASTER IN LIVING ROOM; VAT IN LIVING ROOM; &  LINOLEUM IN KITCHEN,2000,f,2017-05-26,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.5434570953616,-79.9048336244153
1775554,DEM220022,CITY OF MCKEESPORT REGULATED PROPERTY,609  RIDGE ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PAA19-4409,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.3505193371548,-79.8537199668017
1775555,PAA180095,RESIDENTIAL DEMOLITION - PGH,7164  GLADEFIELD ST,PITTSBURGH,15206,450,921,GRAY WASTE MANAGEMENT CORPORATION,ABATEMENT OF VINYL SHEET FLOORING IN ENTRY WAY; FLOOR TILE FIRST FLOOR LANDING; GRAY FLOOR TIME IN KITCHEN,300,f,2018-01-24,2018-07-01,SHANNON SANDBERG,t,f,2018-07-01,PAA,COMPLETE,40.4665116873262,-79.8947143221453
1775556,DEM200177,PA TURNPIKE PROJECT,586  RANDALL ST,WEST MIFFLIN,15122,0,920,GENERAL CONTRACTING CORP. OF AMERICA,ABESTOS ABATED BY OTHERS UNDER PRIOR NOTIFICATION - DEMOLISH STRUCTURE AND GRADE LOT,0,f,2020-11-13,2020-12-13,ELIZABETH LETURGEY,t,f,2020-12-13,DEM,COMPLETE,40.3484608151323,-79.9080649954742
1775557,PAA214174,MUNICIPALITY OF PENN HILLS PROPERTY,200  KEY DR,PITTSBURGH,15235,350,915,DJ DEMO COMPANY,ACM IN PLACE,1100,f,2021-04-09,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.4606518990737,-79.8152285340685
1775558,PAA214175,MUNICIPALITY OF PENN HILLS PROPERTY,134  CENTRAL ST,PITTSBURGH,15235,350,915,DJ DEMO COMPANY,ACM IN PLACE,1100,f,2021-04-09,2021-12-31,JOE YAKUBISIN,t,f,2021-12-31,PAA,COMPLETE,40.4668411237621,-79.8876549604405
1775559,PAA170175,UPMC PASSAVANT HOSPITAL - 9100 BABCOCK BLVD.,,PITTSBURGH,15237,850,908,"BRISTOL ENVIRONMENTAL, INC.",FIREPROOFING AND FLOOR TILE/MASTIC ON 1ST FLOOR,4991,t,2017-04-03,2017-05-31,JOE YAKUBISIN,t,f,2017-05-31,PAA,COMPLETE,40.5299208523154,-80.0427753290985
1775560,PAA150224,GATEWAY CENTER BUILDING 4,FOUR GATEWAY CENTER 444 LIBERTY AVE.,PITTSBURGH,15222,650,940,"SPECTRUM ENVIRONMENTAL, LLC",FIREPROOFING AND FLOOR TILE/MASTIC ON 9TH FLOOR,30000,t,2015-05-18,2015-12-31,JOE YAKUBISIN,t,f,2015-12-31,PAA,COMPLETE,,
1775561,PAA140234,DUQUESNE UNIVERSITY - ST. ANN'S HALL,1325 VICKROY ST,PITTSBURGH,15219,150,908,"BRISTOL ENVIRONMENTAL, INC.",FIREPROOFING IN 3RD FLOOR WOMEN'S ROOM,100,t,2014-06-03,2014-06-30,DON HORGAN,t,f,2014-06-30,PAA,COMPLETE,40.4362412189615,-79.9878427552109
1775562,PAA170165,NOVA PLACE - TOWER 2,100 S COMMONS ST,PITTSBURGH,15212,200,941,"PRISM RESPONSE, LLC DBA ALLOY",FIREPROOFING ON 10TH FLOOR RESTROOMS,1400,t,2017-03-20,2017-08-16,JOE YAKUBISIN,t,f,2017-08-16,PAA,COMPLETE,40.4510114242591,-80.0051923989784
1775563,PAA160524,ONE PNC PLAZA,249 5TH AVE,PITTSBURGH,15222,650,908,"BRISTOL ENVIRONMENTAL, INC.",FIREPROOFING ON 16TH AND 17TH FLOORS,17524,t,2016-12-06,2017-07-31,JOE YAKUBISIN,t,f,2017-02-20,PAA,COMPLETE,40.4412085391936,-80.0005561215261
1775564,PAA170093,ONE PNC PLAZA,249 5TH AVE,PITTSBURGH,15222,150,908,"BRISTOL ENVIRONMENTAL, INC.",FIREPROOFING ON 16TH FLOOR/MECHANICAL SPACE AND FLOOR TILE/MASTIC ON 17TH FLOOR/CORE AREA,1000,t,2017-01-25,2017-06-30,JOE YAKUBISIN,t,f,2017-03-15,PAA,COMPLETE,40.4412085391936,-80.0005561215261
1775565,PAA160187,ALLEGHENY CENTER - BUILDING 2,10 ALLEGHENY CENTER MALL,PITTSBURGH,15212,150,941,"PRISM RESPONSE, LLC DBA ALLOY",FIREPROOFING ON 2ND FLOOR - EXTERIOR WALL,260,t,2016-04-20,2016-07-10,JOE YAKUBISIN,t,f,2016-07-10,PAA,COMPLETE,40.4519174333266,-80.0070278325912
1775566,PAA160450,,100 S COMMONS ST,PITTSBURGH,15212,150,941,"PRISM RESPONSE, LLC DBA ALLOY",FIREPROOFING ON 4TH AND 5TH FLOORS EXTERIOR COLUMNS; FIREPROOFING ON 4TH FLOOR BENEATH EXISTING DUCT,2700,t,2016-09-26,2016-12-30,JOE YAKUBISIN,t,f,2016-12-30,PAA,COMPLETE,40.4510114242591,-80.0051923989784
1775567,PAA160407,NOVA PLACE BUILDING 1,100 S COMMONS ST,PITTSBURGH,15212,650,941,"PRISM RESPONSE, LLC DBA ALLOY",FIREPROOFING ON 4TH FLOOR,9500,t,2016-09-06,2016-12-31,JOE YAKUBISIN,t,f,2016-12-31,PAA,COMPLETE,40.4510114242591,-80.0051923989784
1775568,PAA170290,BRIGHTON HEIGHTS SENIOR CENTER,3515  MCCLURE AVE,PITTSBURGH,15212,450,905,"BLT CONTRACTING, INC.",ABATE ROOFING TO ALLOW FOR OWNER'S RENOVATIONS,20000,f,2017-06-05,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4792708853216,-80.0358178475354
1775569,PAA170292,UOP CRAWFORD HALL - FIFTH & RUSKIN AVENUES,,PITTSBURGH,15213,450,905,"BLT CONTRACTING, INC.",ABATE VAT/MASTIC TO ALLOW FOR OWNER'S RENOVATIONS,100000,t,2017-06-08,2017-12-31,JOE YAKUBISIN,t,f,2017-12-31,PAA,COMPLETE,40.4382227596723,-79.9722482304526
1775570,DEM220018,CITY OF MCKEESPORT REGULATED PROPERTY,2913  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PAA19-4406,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.3392597565228,-79.8426108840594
1775571,DEM220017,CITY OF MCKEESPORT REGULATED PROPERTY,2207  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PERMIT PAA19-4405,,f,2022-02-04,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,40.3388819686627,-79.8504216662106
1775572,PAA140341,CARNEGIE LIBRARY OF PITTSBURGH - BEECHVIEW BRANCH,1910 BROADWAY AVE.,BEECHVIEW,15216,650,921,GRAY WASTE MANAGEMENT CORPORATION,ACCOUSTICAL PLASTER;FIREPROOFING ON 1ST FLOOR;ROOF TAR AND ELBOWS IN BASEMENT,3110,f,2014-08-08,2014-12-31,JOE YAKUBISIN,t,f,2014-12-31,PAA,COMPLETE,40.4070544421215,-80.0277130463366
